arm,size,seed,precision,conf,frozen,micro_f1,recall,count_mae_pct,net_bias_pct,provenance
base,320,0,fp32,0.5,0,0.7817,0.8007,14.83,4.85,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.783,0.7678,14.85,-3.88,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.7822,0.7328,15.16,-12.62,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.7603,0.6731,22.93,-22.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.7048,0.5773,36.2,-36.2,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.5771,0.4181,55.1,-55.1,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.3049,0.1814,80.96,-80.96,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.0377,0.0192,98.04,-98.04,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0017,0.0009,99.91,-99.91,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.25,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.3,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.35,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.4,1,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.45,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.5,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.55,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.6,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.65,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.7,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.75,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.8,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.85,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.9,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.05,0,0.3459,0.9168,330.17,330.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.4802,0.905,176.93,176.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.15,0,0.5619,0.8952,118.64,118.64,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.2,0,0.6213,0.8856,85.06,85.06,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.25,0,0.6692,0.8776,62.27,62.27,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.3,0,0.7065,0.8661,45.28,45.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.35,0,0.734,0.8539,32.86,32.65,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.4,1,0.7546,0.8386,23.44,22.28,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.45,0,0.7709,0.8213,18.37,13.09,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.5,0,0.7817,0.8007,14.83,4.85,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.783,0.7678,14.85,-3.88,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.7822,0.7328,15.16,-12.62,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.7603,0.6731,22.93,-22.93,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.7048,0.5773,36.2,-36.2,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.5771,0.4181,55.1,-55.1,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.3049,0.1814,80.96,-80.96,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.0377,0.0192,98.04,-98.04,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0017,0.0009,99.91,-99.91,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.25,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.3,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.35,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.4,1,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.45,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.5,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.55,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.6,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.65,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.7,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.75,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.8,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.85,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,int8,0.9,0,0.0,0.0,100.0,-100.0,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.05,0,0.3459,0.917,330.22,330.22,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.4801,0.9052,177.05,177.05,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.15,0,0.5618,0.8956,118.81,118.81,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.2,0,0.6214,0.886,85.17,85.17,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.25,0,0.6692,0.8777,62.32,62.32,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.3,0,0.7065,0.8662,45.31,45.21,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.35,0,0.7341,0.8541,32.88,32.67,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.4,1,0.7544,0.8386,23.46,22.33,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.45,0,0.7709,0.8215,18.4,13.12,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.5,0,0.7817,0.8005,14.83,4.82,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.783,0.7678,14.85,-3.88,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.7821,0.7326,15.18,-12.64,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.7604,0.6733,22.91,-22.91,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.7048,0.5773,36.2,-36.2,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.5768,0.4178,55.14,-55.14,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.3051,0.1816,80.95,-80.95,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.038,0.0194,98.03,-98.03,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0017,0.0009,99.91,-99.91,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.0,0.0017,7887.17,7887.17,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.0,0.0009,4832.31,4832.31,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.0,0.0005,3536.61,3536.61,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.0,0.0003,2807.6,2807.6,nntool-sq8-ne16(unknown)
base,320,0,int8,0.25,0,0.0,0.0002,2291.58,2291.58,nntool-sq8-ne16(unknown)
